ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260703,40.53,42.0,40.53,41.51,41.08,0.43,1.0467,538275.92,2218691.0887,22.186910887000003,2.4587,1.08,118.7889,115.5502,5.2889,9971033.2498,997.10332498,9087753.9977,908.77539977,2026-07-03 19:56:12
601360.SH,三六零,AI应用,Agent,A,CN,1,20260703,8.65,8.79,8.63,8.71,8.7,0.01,0.1149,600811.44,523438.562,5.234385619999999,0.8584,0.75,231.799,94.456,2.0879,6096614.9309,609.66149309,6096614.9309,609.66149309,2026-07-03 19:56:12
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260703,9.31,9.44,9.2,9.31,9.35,-0.04,-0.4278,326893.73,304718.26,3.0471826,0.9567,0.63,,,4.6135,3181224.5794,318.12245794,3181224.5794,318.12245794,2026-07-03 19:56:12
688111.SH,金山办公,AI应用,办公,S,CN,1,20260703,216.0,216.95,209.9,211.35,215.41,-4.06,-1.8848,69662.32,1482456.601,14.82456601,1.5013,0.66,53.401,27.0251,6.4819,9806923.209,980.6923209,9806923.209,980.6923209,2026-07-03 19:56:12
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260703,30.5,31.59,30.22,30.28,29.03,1.25,4.3059,2461803.1,7584138.42493,75.84138424929999,8.6075,1.12,51.3807,40.7567,5.5775,8660321.9372,866.03219372,8660300.1356,866.03001356,2026-07-03 19:56:12
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260703,63.79,69.21,63.79,66.35,63.79,2.56,4.0132,988417.16,6605854.27375,66.05854273749999,6.7384,1.12,40.3808,38.1333,4.3687,9743342.9045,974.33429045,9732428.993,973.2428993000001,2026-07-03 19:56:12
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260703,63.5,66.22,62.99,64.72,64.02,0.7,1.0934,1301297.24,8461745.562,84.61745562000002,0.6558,0.66,36.3976,31.5946,7.2882,128430965.3656,12843.09653656,128430965.3656,12843.09653656,2026-07-03 19:56:12
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260703,93.55,96.6,92.6,92.68,94.56,-1.88,-1.9882,790119.47,7460261.871,74.60261871,5.4005,0.63,62.3085,61.1461,6.0118,13560156.3076,1356.01563076,13559587.2524,1355.95872524,2026-07-03 19:56:12
002916.SZ,深南电路,AI硬件,PCB,S,CN,1,20260703,426.28,465.41,415.0,454.48,423.1,31.38,7.4167,176441.74,7950826.25471,79.5082625471,2.654,1.36,94.5059,85.1767,17.1127,30957659.6368,3095.76596368,30214262.156,3021.4262156,2026-07-03 19:56:12
688183.SH,生益电子,AI硬件,PCB,A,CN,1,20260703,115.0,125.15,113.0,122.89,115.3,7.59,6.5828,223506.89,2689977.426,26.89977426,2.6684,1.0,69.8718,59.9246,16.7903,10293158.2568,1029.31582568,10293158.2568,1029.31582568,2026-07-03 19:56:12
