ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
688111.SH,金山办公,AI应用,办公,S,CN,1,20260727,228.67,242.22,225.18,240.8,226.93,13.87,6.112,94463.73,2225470.933,22.25470933,2.0358,0.79,60.842,30.7908,7.3851,11173442.672,1117.3442672,11173442.672,1117.3442672,2026-07-27 21:44:03
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260727,9.0,9.33,8.84,9.32,8.97,0.35,3.9019,518354.06,475171.896,4.75171896,1.517,0.83,,,4.6185,3184641.5768,318.46415767999997,3184641.5768,318.46415767999997,2026-07-27 21:44:03
601360.SH,三六零,AI应用,Agent,A,CN,1,20260727,8.39,8.67,8.27,8.66,8.43,0.23,2.7284,822278.6,702076.531,7.02076531,1.1748,0.72,230.4683,93.9138,2.0759,6061617.1414,606.16171414,6061617.1414,606.16171414,2026-07-27 21:44:03
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260727,38.88,39.74,38.55,39.73,38.88,0.85,2.1862,273911.89,1079029.19687,10.790291968700002,1.2511,0.69,113.6951,110.5953,5.0621,9543463.0454,954.3463045399999,8698059.8971,869.80598971,2026-07-27 21:44:03
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260727,59.88,61.55,59.5,61.55,60.25,1.3,2.1577,815802.38,4963719.056,49.63719056,0.4111,0.53,34.6148,30.0471,6.9312,122140388.1065,12214.03881065,122140388.1065,12214.03881065,2026-07-27 21:44:03
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260727,41.03,42.68,39.28,41.47,41.45,0.02,0.0483,3278908.74,13358643.0557,133.586430557,11.4644,0.68,70.3684,55.8183,7.6387,11860751.3453,1186.07513453,11860721.4869,1186.07214869,2026-07-27 21:44:03
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260727,86.0,87.43,81.37,85.0,85.31,-0.31,-0.3634,840189.77,7052436.92023,70.52436920230001,5.7279,0.52,51.7312,48.852,5.5967,12482051.95,1248.205195,12468070.3,1246.8070300000002,2026-07-27 21:44:03
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260727,97.0,97.88,92.51,96.74,97.5,-0.76,-0.7795,566898.68,5418585.409,54.18585409,3.8748,0.58,65.038,63.8247,6.2752,14154181.2818,1415.41812818,14153587.2982,1415.35872982,2026-07-27 21:44:03
688183.SH,生益电子,AI硬件,PCB,A,CN,1,20260727,96.0,103.1,95.68,102.83,96.78,6.05,6.2513,122104.74,1214130.754,12.14130754,1.4578,0.63,58.4663,50.1428,14.0495,8612950.3096,861.29503096,8612950.3096,861.29503096,2026-07-27 21:44:03
002916.SZ,深南电路,AI硬件,PCB,S,CN,1,20260727,332.48,354.88,331.06,353.44,332.81,20.63,6.1987,100101.94,3435934.41928,34.3593441928,1.5057,0.82,73.4954,66.2402,13.3082,24075152.3104,2407.5152310400003,23497026.968,2349.7026968,2026-07-27 21:44:03
600183.SH,生益科技,AI硬件,PCB,A,CN,1,20260727,120.0,125.99,114.66,125.99,118.71,7.28,6.1326,575209.85,6950835.942,69.50835942,2.385,0.74,91.792,77.9011,17.0702,30603017.6163,3060.3017616300003,30385624.3911,3038.56243911,2026-07-27 21:44:03
688498.SH,源杰科技,AI硬件,光模块,A,CN,1,20260727,1383.74,1490.0,1355.3,1473.01,1390.0,83.01,5.9719,48694.5,6998077.697,69.98077697,3.9624,0.68,960.5401,515.0747,72.6375,18339018.6903,1833.90186903,18102129.2221,1810.21292221,2026-07-27 21:44:03
002463.SZ,沪电股份,AI硬件,PCB,S,CN,1,20260727,112.22,117.81,112.22,117.5,112.22,5.28,4.705,461619.78,5324539.91557,53.2453991557,2.4008,0.64,59.1561,52.5609,13.4672,22611272.3,2261.12723,22593023.375,2259.3023375,2026-07-27 21:44:03
300476.SZ,胜宏科技,AI硬件,PCB,S,CN,1,20260727,228.51,238.66,227.1,238.66,230.01,8.65,3.7607,215995.33,5056082.84572,50.560828457199996,2.4965,0.6,54.3952,50.1203,13.4767,23455142.0368,2345.5142036800003,20648741.4834,2064.87414834,2026-07-27 21:44:03
300570.SZ,太辰光,AI硬件,光模块,A,CN,1,20260727,136.8,140.99,132.55,140.99,135.93,5.06,3.7225,109649.43,1503810.78735,15.038107873500001,5.7052,0.68,107.1121,112.2133,18.1024,3202262.1631,320.22621631,2709726.2872,270.97262872,2026-07-27 21:44:03
300502.SZ,新易盛,AI硬件,光模块,S,CN,1,20260727,466.14,492.41,459.5,491.0,476.02,14.98,3.1469,357034.49,17128849.4751,171.288494751,2.8466,0.63,71.8197,63.7434,33.593,68458003.97,6845.800397,61583341.12,6158.334112,2026-07-27 21:44:03
300308.SZ,中际旭创,AI硬件,光模块,S,CN,1,20260727,1021.02,1080.0,1003.33,1076.94,1046.51,30.43,2.9078,255902.66,26708792.8794,267.087928794,2.3056,0.71,111.2358,80.3432,33.7493,120104085.7818,12010.40857818,119533856.8212,11953.38568212,2026-07-27 21:44:03
300394.SZ,天孚通信,AI硬件,光模块,S,CN,1,20260727,201.76,210.32,200.1,209.19,203.41,5.78,2.8416,258245.4,5315441.28591,53.1544128591,2.3727,0.61,113.1183,105.0666,38.1596,22818970.2669,2281.89702669,22767990.6639,2276.79906639,2026-07-27 21:44:03
300474.SZ,景嘉微,AI芯片,GPU,A,CN,1,20260727,50.66,51.44,49.38,51.35,50.61,0.74,1.4622,71661.9,363190.1331,3.631901331,1.763,0.62,,,3.9336,2683650.1055,268.36501055,2087244.5035,208.72445035,2026-07-27 21:44:03
