ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
688111.SH,金山办公,AI应用,办公,S,CN,1,20260917,221.16,225.26,220.0,223.05,222.81,0.24,0.1077,44210.96,981672.271,9.816722709999999,0.9528,1.08,56.3572,28.6948,6.8648,10349818.887,1034.9818887,10349818.887,1034.9818887,2026-09-17 16:51:28
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260917,9.34,9.46,9.3,9.35,9.37,-0.02,-0.2134,244348.42,228680.628,2.28680628,0.7151,0.76,,,4.7539,3194892.569,319.4892569,3194892.569,319.4892569,2026-09-17 16:51:28
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260917,38.77,38.99,38.32,38.34,38.9,-0.56,-1.4396,168813.47,651599.1706,6.515991705999999,0.7708,0.95,109.7174,105.3152,4.0323,9209574.1104,920.95741104,8396333.248,839.6333248,2026-09-17 16:51:28
601360.SH,三六零,AI应用,Agent,A,CN,1,20260917,8.71,8.79,8.64,8.65,8.78,-0.13,-1.4806,773074.03,672639.758,6.72639758,1.1045,0.6,230.2022,79.6154,2.1433,6054617.5835,605.46175835,6054617.5835,605.46175835,2026-09-17 16:51:28
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260917,82.52,83.38,82.26,82.68,83.3,-0.62,-0.7443,169602.47,1404453.589,14.044535889999999,1.1592,0.98,55.5855,50.008,5.2475,12097040.6076,1209.70406076,12096532.9524,1209.65329524,2026-09-17 16:51:28
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260917,61.9,62.78,61.1,61.27,62.33,-1.06,-1.7006,582565.15,3600990.659,36.00990659,0.2936,0.85,34.4574,25.9173,6.9179,121584753.5221,12158.47535221,121584753.5221,12158.47535221,2026-09-17 16:51:28
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260917,70.46,71.25,69.52,69.81,71.15,-1.34,-1.8833,504307.43,3538778.3185,35.387783185,3.4379,0.87,42.4865,22.452,4.1784,10251435.8427,1025.14358427,10240538.5017,1024.05385017,2026-09-17 16:51:28
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260917,33.6,33.98,32.7,32.8,33.98,-1.18,-3.4726,1368923.58,4541907.51431,45.4190751431,4.7863,1.38,55.6567,33.3658,5.2496,9381062.072,938.1062072000001,9381038.456,938.1038456,2026-09-17 16:51:28
300570.SZ,太辰光,AI硬件,光模块,A,CN,1,20260917,207.06,217.69,205.69,215.98,206.39,9.59,4.6465,242142.32,5133561.39368,51.335613936799994,12.5989,1.43,164.0831,162.4757,29.4062,4905486.7862,490.54867862,4150980.0944,415.09800944,2026-09-17 16:51:28
300394.SZ,天孚通信,AI硬件,光模块,S,CN,1,20260917,268.54,282.6,268.54,277.65,268.49,9.16,3.4117,456352.49,12686236.5874,126.862365874,4.1929,1.12,150.1376,130.4165,48.4699,30286756.125,3028.6756125,30219092.82,3021.909282,2026-09-17 16:51:28
