trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260727,000001.SH,上证指数,3858.245,1.1548,10313.12,16.74,16.51,1.46,0.98,7553049142.8,5932717014.66
20260727,000016.SH,上证50,2950.4324,-0.2,1740.01,11.78,11.68,1.27,0.32,2854277068.42,2286230935.52
20260727,000300.SH,沪深300,4702.4272,1.145,6045.52,14.71,14.45,1.47,0.61,6844352366.42,5261435034.41
20260727,000905.SH,中证500,7720.5975,2.4944,4056.37,38.21,36.42,2.46,1.58,1841726210.65,1547983932.07
20260727,000852.SH,中证1000,7228.7845,3.3319,3900.9,,,,,,
20260727,000688.SH,科创50,1807.951,1.1613,1230.92,,,,,,
20260727,399001.SZ,深证成指,14148.7307,2.7155,6336.07,35.91,33.77,2.9,1.78,3031088437.12,2594011592.98
20260727,399006.SZ,创业板指,3590.7872,3.1577,2384.54,49.17,44.63,6.04,2.77,1043262219.58,888452404.39
