trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260901,000001.SH,上证指数,,,,17.3574,16.1348,1.4739,1.1745,7837266503.78,6144250240.34
20260901,000016.SH,上证50,,,,12.0664,11.0556,1.2576,0.3065,2909036675.83,2329909256.87
20260901,000300.SH,沪深300,,,,14.915,13.8281,1.4524,0.6412,6911491236.0,5269349319.3
20260901,000905.SH,中证500,,,,38.7497,33.5878,2.4364,1.7134,1867808761.01,1582360241.1
20260901,000852.SH,中证1000,,,,,,,,,
20260901,000688.SH,科创50,,,,,,,,,
20260901,399001.SZ,深证成指,,,,35.5884,30.8203,2.7968,1.9177,3004256316.1,2565657377.89
20260901,399006.SZ,创业板指,,,,47.4855,38.9219,5.4755,2.8105,1007617973.0,849366887.45
