ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260901,10.25,10.58,10.16,10.39,10.29,0.1,0.9718,709652.6,737712.352,7.37712352,2.0768,1.05,,,5.2827,3550260.2986,355.02602986,3550260.2986,355.02602986,2026-09-01 20:43:46
601360.SH,三六零,AI应用,Agent,A,CN,1,20260901,9.22,9.44,9.21,9.27,9.22,0.05,0.5423,1721141.56,1603626.544,16.03626544,2.4589,1.26,246.7023,85.322,2.2969,6488590.1733,648.85901733,6488590.1733,648.85901733,2026-09-01 20:43:46
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260901,40.61,40.81,40.11,40.22,40.3,-0.08,-0.1985,251040.19,1013537.42705,10.1353742705,1.1463,1.03,115.0973,110.4793,4.23,9661165.1205,966.11651205,8808047.0327,880.80470327,2026-09-01 20:43:46
688111.SH,金山办公,AI应用,办公,S,CN,1,20260901,248.98,251.36,246.16,247.36,249.65,-2.29,-0.9173,57110.15,1419161.747,14.19161747,1.2308,0.86,62.4995,31.8223,7.6129,11477835.4624,1147.78354624,11477835.4624,1147.78354624,2026-09-01 20:43:46
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260901,85.9,87.14,85.18,85.6,85.18,0.42,0.4931,1097373.68,9442632.29215,94.4263229215,7.4808,1.78,52.0964,27.5303,5.1235,12570160.552,1257.0160552,12556798.392,1255.6798392,2026-09-01 20:43:46
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260901,38.71,39.55,38.3,38.32,38.95,-0.63,-1.6175,1904614.02,7386763.60537,73.8676360537,6.6593,1.23,65.0233,38.981,6.133,10959826.1768,1095.98261768,10959798.5864,1095.97985864,2026-09-01 20:43:46
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260901,88.0,88.01,86.53,86.67,88.27,-1.6,-1.8126,273141.16,2377240.42,23.7724042,1.8669,0.91,58.268,52.4213,5.5008,12680823.7719,1268.08237719,12680291.6181,1268.02916181,2026-09-01 20:43:46
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260901,64.35,64.5,62.8,62.94,64.84,-1.9,-2.9303,749913.38,4742835.652,47.42835652,0.3779,0.66,35.3966,26.6237,7.1065,124898716.9362,12489.87169362,124898716.9362,12489.87169362,2026-09-01 20:43:46
300308.SZ,中际旭创,AI硬件,光模块,S,CN,1,20260901,852.5,887.0,837.33,859.3,851.9,7.4,0.8686,286622.43,24665474.546,246.65474546000002,2.5823,1.09,93.744,49.4873,25.3939,101217775.4511,10121.77754511,95376886.6678,9537.688666779999,2026-09-01 20:43:46
300502.SZ,新易盛,AI硬件,光模块,S,CN,1,20260901,401.78,415.0,388.0,402.81,401.87,0.94,0.2339,375857.87,15061737.8861,150.617378861,2.9967,1.05,58.92,42.8104,23.115,56162054.1327,5616.2054132700005,50522170.3392,5052.21703392,2026-09-01 20:43:46
