ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
601360.SH,三六零,AI应用,Agent,A,CN,1,20260907,8.97,9.06,8.89,8.97,8.98,-0.01,-0.1114,865751.61,773753.742,7.73753742,1.2369,,238.7184,82.5607,2.2225,6278603.4363,627.86034363,6278603.4363,627.86034363,2026-09-07 16:34:46
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260907,39.49,39.55,39.2,39.44,39.5,-0.06,-0.1519,187977.92,739687.39935,7.3968739935,0.8584,,112.8652,108.3368,4.148,9473802.8929,947.38028929,8637229.6114,863.72296114,2026-09-07 16:34:46
688111.SH,金山办公,AI应用,办公,S,CN,1,20260907,242.0,243.57,237.76,239.53,242.99,-3.46,-1.4239,48569.86,1163919.471,11.639194709999998,1.0467,,60.5211,30.8149,7.372,11114512.9702,1111.45129702,11114512.9702,1111.45129702,2026-09-07 16:34:46
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260907,10.15,10.29,9.9,10.02,10.19,-0.17,-1.6683,756471.21,757378.567,7.57378567,2.2138,,,,5.0946,3423831.3948,342.38313948,3423831.3948,342.38313948,2026-09-07 16:34:46
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260907,64.6,66.88,64.6,66.57,63.69,2.88,4.5219,1743475.5,11506069.535,115.06069535,0.8786,,37.438,28.1592,7.5163,132102122.4411,13210.21224411,132102122.4411,13210.21224411,2026-09-07 16:34:46
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260907,83.0,83.56,81.88,83.38,82.69,0.69,0.8344,209307.39,1735339.334,17.35339334,1.4306,,56.0561,50.4314,5.292,12199458.7066,1219.9458706599999,12198946.7534,1219.89467534,2026-09-07 16:34:46
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260907,35.46,35.7,34.28,35.37,35.27,0.1,0.2835,1665301.46,5837829.55811,58.3782955811,5.8226,,60.0176,35.9801,5.6609,10116102.6063,1011.61026063,10116077.1399,1011.6077139900001,2026-09-07 16:34:46
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260907,75.5,75.8,72.3,74.74,77.72,-2.98,-3.8343,1479964.53,10940537.1822,109.40537182199999,10.089,,45.487,24.0375,4.4735,10975394.8558,1097.53948558,10963727.9418,1096.37279418,2026-09-07 16:34:46
688498.SH,源杰科技,AI硬件,光模块,A,CN,1,20260907,1499.0,1706.0,1488.0,1702.0,1466.0,236.0,16.0982,56399.19,9004888.392,90.04888392000001,4.5893,,1109.863,281.8813,67.4476,21189951.06,2118.995106,20916235.42,2091.6235420000003,2026-09-07 16:34:46
300570.SZ,太辰光,AI硬件,光模块,A,CN,1,20260907,185.45,207.68,185.45,206.1,180.0,26.1,14.5,227803.99,4523666.76126,45.2366676126,11.8529,,156.5771,155.0432,28.0611,4681085.409,468.1085409,3961093.608,396.1093608,2026-09-07 16:34:46
688183.SH,生益电子,AI硬件,PCB,A,CN,1,20260907,122.0,132.93,120.79,132.93,118.43,14.5,12.2435,260012.46,3368877.907,33.68877907,3.1043,,75.5803,54.2243,17.0973,11134099.8216,1113.40998216,11134099.8216,1113.40998216,2026-09-07 16:34:46
300308.SZ,中际旭创,AI硬件,光模块,S,CN,1,20260907,838.61,902.26,836.13,898.46,814.0,84.46,10.3759,431303.39,37634550.2137,376.345502137,3.8858,,98.0161,51.7425,26.5511,105830469.6053,10583.046960529999,99723399.9715,9972.33999715,2026-09-07 16:34:46
002463.SZ,沪电股份,AI硬件,PCB,S,CN,1,20260907,113.61,122.65,113.5,122.65,111.5,11.15,10.0,801001.47,9613926.29192,96.13926291920001,4.1657,,61.7489,46.6183,13.1203,23602318.3275,2360.23183275,23583776.1005,2358.37761005,2026-09-07 16:34:46
002916.SZ,深南电路,AI硬件,PCB,S,CN,1,20260907,338.0,364.98,336.0,364.98,331.8,33.18,10.0,92408.79,3314184.03634,33.1418403634,1.3896,,75.895,59.6596,13.7887,24861218.5668,2486.12185668,24271943.7576,2427.1943757599997,2026-09-07 16:34:46
300502.SZ,新易盛,AI硬件,光模块,S,CN,1,20260907,397.98,419.33,395.0,417.2,386.0,31.2,8.0829,512217.74,20918001.9445,209.180019445,4.0839,,61.0248,44.3397,23.9408,58168389.524,5816.8389523999995,52327026.304,5232.7026304,2026-09-07 16:34:46
600183.SH,生益科技,AI硬件,PCB,A,CN,1,20260907,140.25,149.25,139.8,148.15,137.5,10.65,7.7455,839356.44,12168893.729,121.68893729,3.4803,,107.937,69.2773,19.4499,35985689.8155,3598.56898155,35730059.9535,3573.0059953500004,2026-09-07 16:34:46
300394.SZ,天孚通信,AI硬件,光模块,S,CN,1,20260907,256.22,268.87,254.4,267.0,248.7,18.3,7.3583,519293.84,13606540.7196,136.065407196,4.7712,,144.3787,125.414,46.6107,29125027.5,2912.50275,29059959.6,2905.99596,2026-09-07 16:34:46
300476.SZ,胜宏科技,AI硬件,PCB,S,CN,1,20260907,224.83,235.38,223.2,233.46,219.5,13.96,6.3599,319767.83,7368250.18054,73.6825018054,3.6959,,53.21,45.654,6.0524,22944093.9408,2294.40939408,20198840.1354,2019.88401354,2026-09-07 16:34:46
688256.SH,寒武纪,AI芯片,GPU,S,CN,1,20260907,1077.75,1104.99,1050.0,1092.38,1072.0,20.38,1.9011,102029.39,11026357.487,110.26357487,1.6225,,333.5946,206.1631,50.677,68694753.252,6869.4753252,68694753.252,6869.4753252,2026-09-07 16:34:46
688041.SH,海光信息,AI芯片,GPU,S,CN,1,20260907,246.0,246.94,234.06,242.71,243.67,-0.96,-0.394,235448.28,5648127.324,56.48127324,1.013,,221.6756,179.5534,22.2336,56414010.0251,5641.40100251,56414010.0251,5641.40100251,2026-09-07 16:34:46
300474.SZ,景嘉微,AI芯片,GPU,A,CN,1,20260907,50.56,50.73,49.76,49.97,50.19,-0.22,-0.4383,54682.5,273653.72708,2.7365372708,1.3453,,,,3.8538,2611528.1424,261.15281424,2031179.0609,203.11790609,2026-09-07 16:34:46
688072.SH,拓荆科技,半导体设备,CVD,S,CN,1,20260907,638.0,658.88,623.0,651.92,621.93,29.99,4.8221,41368.65,2668032.23,26.6803223,1.4557,,205.5388,87.5672,14.9794,19047361.7736,1904.73617736,18526738.4616,1852.6738461599998,2026-09-07 16:34:46
002371.SZ,北方华创,半导体设备,设备,S,CN,1,20260907,652.21,667.86,652.02,660.65,638.17,22.48,3.5226,80581.41,5314211.73999,53.142117399899995,1.1113,,86.8213,84.3462,11.8246,47942656.998,4794.2656998,47902786.7705,4790.27867705,2026-09-07 16:34:46
688012.SH,中微公司,半导体设备,刻蚀,S,CN,1,20260907,340.0,347.93,335.78,344.0,335.42,8.58,2.558,158018.8,5417398.96,54.1739896,1.6771,,156.0511,77.8816,10.9695,32949775.12,3294.977512,32411576.8,3241.1576800000003,2026-09-07 16:34:46
