trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260921,000001.SH,上证指数,3949.9068,0.9723,9468.19,17.2019,15.9887,1.4629,1.0209,7765273902.56,6101126880.07
20260921,000016.SH,上证50,2886.6133,0.9032,1248.81,11.7964,10.8083,1.2341,0.2335,2843962458.73,2276850319.09
20260921,000300.SH,沪深300,4539.5654,0.7138,4954.36,14.5978,13.5341,1.4247,0.556,6764538976.81,5163355341.87
20260921,000905.SH,中证500,7850.48,0.6522,3482.96,38.7521,33.5899,2.4371,1.3893,1867924059.77,1578575321.53
20260921,000852.SH,中证1000,7766.3348,1.0243,4271.24,47.0365,44.5161,2.4514,2.2434,1507645964.6,1337492767.11
20260921,000688.SH,科创50,1657.4846,0.2937,892.51,239.6394,136.1945,7.8708,1.1514,706077786.74,505598164.59
20260921,399001.SZ,深证成指,13730.0202,0.6535,5437.66,35.096,30.3938,2.7614,1.6685,2962691675.06,2529764503.92
20260921,399006.SZ,创业板指,3399.5899,0.798,2164.73,47.1699,38.6632,5.4455,2.2854,1000921519.1,842816365.11
