ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
601360.SH,三六零,AI应用,Agent,A,CN,1,20260918,8.71,8.88,8.69,8.77,8.65,0.12,1.3873,906138.62,796399.219,7.963992190000001,1.2946,0.68,233.3958,80.7199,2.173,6138612.2783,613.8612278300001,6138612.2783,613.8612278300001,2026-09-18 20:21:30
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260918,9.4,9.51,9.37,9.46,9.35,0.11,1.1765,340038.9,321448.139,3.2144813900000004,0.9951,1.1,,,4.8099,3232479.5404,323.24795403999997,3232479.5404,323.24795403999997,2026-09-18 20:21:30
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260918,38.49,38.68,38.44,38.48,38.34,0.14,0.3652,166309.82,641030.05256,6.410300525599999,0.7594,0.91,110.118,105.6998,4.047,9243203.2282,924.32032282,8426992.7851,842.69927851,2026-09-18 20:21:30
688111.SH,金山办公,AI应用,办公,S,CN,1,20260918,225.0,225.2,221.8,223.61,223.05,0.56,0.2511,51005.11,1139410.078,11.39410078,1.0992,1.19,56.4987,28.7669,6.882,10375803.6374,1037.58036374,10375803.6374,1037.58036374,2026-09-18 20:21:30
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260918,33.35,34.29,32.86,33.95,32.8,1.15,3.5061,1503942.66,5063931.68645,50.639316864499996,5.2584,1.36,57.6081,34.5356,5.4336,9709971.2605,970.9971260500001,9709946.8165,970.9946816500001,2026-09-18 20:21:30
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260918,71.0,72.19,69.93,71.88,69.81,2.07,2.9652,682038.6,4864119.05311,48.641190531099994,4.6495,1.19,43.7464,23.1177,4.3023,10555410.5196,1055.54105196,10544190.0516,1054.41900516,2026-09-18 20:21:30
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260918,62.98,63.95,62.0,62.71,61.27,1.44,2.3503,1112075.45,6990336.132,69.90336132,0.5604,1.61,35.2672,26.5264,7.0805,124442302.8133,12444.23028133,124442302.8133,12444.23028133,2026-09-18 20:21:30
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260918,83.49,84.38,83.01,84.3,82.68,1.62,1.9594,285022.18,2389870.448,23.89870448,1.9481,1.58,56.6747,50.9878,5.3504,12334065.351,1233.4065351,12333547.749,1233.3547749,2026-09-18 20:21:30
300570.SZ,太辰光,AI硬件,光模块,A,CN,1,20260918,223.77,242.99,222.97,229.35,215.98,13.37,6.1904,287093.44,6665488.70368,66.6548870368,14.9378,1.6,174.2404,172.5335,31.2266,5209155.4515,520.9155451500001,4407941.868,440.7941868,2026-09-18 20:21:30
300502.SZ,新易盛,AI硬件,光模块,S,CN,1,20260918,435.01,453.78,426.51,445.0,424.34,20.66,4.8687,420921.49,18511043.6222,185.110436222,3.3547,1.22,65.1136,47.3106,25.5449,62065805.4,6206.58054,55835204.65,5583.520465,2026-09-18 20:21:30
