trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260722,000001.SH,上证指数,3867.0336,0.069,12581.48,16.81,16.59,1.47,1.27,7587867751.99,5947135269.03
20260722,000016.SH,上证50,2991.0474,0.5795,2683.44,11.87,11.77,1.28,0.43,2876040296.94,2300126769.1
20260722,000300.SH,沪深300,4717.2442,-0.4639,9215.19,14.75,14.51,1.48,0.85,6860470372.34,5269859444.82
20260722,000905.SH,中证500,7751.6618,-0.6275,5690.8,38.61,36.82,2.48,2.09,1860938029.3,1553764646.05
20260722,000852.SH,中证1000,7158.7622,-1.3926,5183.58,,,,,,
20260722,000688.SH,科创50,1860.0848,-2.2634,1929.17,,,,,,
20260722,399001.SZ,深证成指,14061.4353,-1.4221,9089.9,35.67,33.83,2.89,2.43,3011333696.74,2576427556.95
20260722,399006.SZ,创业板指,3566.7323,-3.2349,3401.13,48.69,45.37,6.05,3.55,1033272878.36,879428830.39
