trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260721,000001.SH,上证指数,3864.3671,1.7935,13965.18,16.78,16.57,1.46,1.51,7574893223.88,5943406804.69
20260721,000016.SH,上证50,2973.8131,2.0928,2918.48,11.79,11.69,1.27,0.51,2855467319.39,2283606528.75
20260721,000300.SH,沪深300,4739.2287,3.0643,10167.27,14.72,14.49,1.47,1.03,6848496096.89,5267252161.56
20260721,000905.SH,中证500,7800.6085,5.2527,6069.55,38.84,37.04,2.5,2.43,1872135175.2,1561141356.34
20260721,000852.SH,中证1000,7259.863,4.2279,5728.69,,,,,,
20260721,000688.SH,科创50,1903.1613,10.7333,2130.55,,,,,,
20260721,399001.SZ,深证成指,14264.2915,4.8056,9848.75,36.08,34.21,2.92,2.86,3045428582.39,2604980915.81
20260721,399006.SZ,创业板指,3685.9684,7.0537,3888.43,50.08,46.66,6.22,4.3,1062658195.77,906102220.81
