trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260918,000001.SH,上证指数,3911.8714,0.9358,9941.69,17.0327,15.8315,1.4485,0.9862,7688882445.8,6042136550.2
20260918,000016.SH,上证50,2860.7747,0.5816,1383.66,11.6928,10.7134,1.2233,0.2439,2818985914.93,2256608995.1
20260918,000300.SH,沪深300,4507.3926,1.0591,5376.99,14.4836,13.4282,1.4136,0.5667,6711596990.09,5125646534.15
20260918,000905.SH,中证500,7799.6129,1.8894,3704.58,38.4605,33.3372,2.4186,1.3124,1853870608.52,1567722295.79
20260918,000852.SH,中证1000,7687.594,1.8383,4301.97,46.5702,44.0748,2.427,2.1381,1492700340.04,1323661983.14
20260918,000688.SH,科创50,1652.631,2.8852,1176.53,238.9925,135.8269,7.8717,1.4483,704171862.6,503383894.27
20260918,399001.SZ,深证成指,13640.8728,1.7223,5658.15,34.8713,30.1992,2.7431,1.6276,2943722031.43,2514210519.62
20260918,399006.SZ,创业板指,3372.6763,2.2547,2227.36,46.8663,38.4143,5.4043,2.271,994478178.64,837566093.51
