ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260904,10.09,10.68,10.04,10.19,9.92,0.27,2.7218,1146234.69,1192529.501,11.92529501,3.3545,,,,5.181,3481920.3506,348.19203506,3481920.3506,348.19203506,2026-09-04 16:10:35
688111.SH,金山办公,AI应用,办公,S,CN,1,20260904,242.67,248.3,241.6,242.99,239.05,3.94,1.6482,68650.81,1681811.937,16.818119369999998,1.4795,,61.3953,31.2601,7.4784,11275061.6066,1127.50616066,11275061.6066,1127.50616066,2026-09-04 16:10:35
601360.SH,三六零,AI应用,Agent,A,CN,1,20260904,9.03,9.25,8.94,8.98,8.89,0.09,1.0124,1412859.88,1285774.311,12.85774311,2.0185,,238.9845,82.6528,2.225,6285602.9942,628.56029942,6285602.9942,628.56029942,2026-09-04 16:10:35
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260904,39.54,40.1,39.38,39.5,39.2,0.3,0.7653,271371.3,1078922.59324,10.7892259324,1.2392,,113.0369,108.5016,4.1543,9488215.372,948.8215372,8650369.413,865.0369413000001,2026-09-04 16:10:35
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260904,63.84,65.3,63.3,63.69,63.2,0.49,0.7753,1295498.38,8337057.613,83.37057613,0.6528,,35.8183,26.9409,7.1912,126387023.8587,12638.702385870001,126387023.8587,12638.702385870001,2026-09-04 16:10:35
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260904,85.16,85.35,82.14,82.69,84.35,-1.66,-1.968,336477.41,2813418.774,28.13418774,2.2998,,55.5923,50.014,5.2482,12098503.7233,1209.85037233,12097996.0067,1209.79960067,2026-09-04 16:10:35
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260904,38.51,38.65,34.9,35.27,38.13,-2.86,-7.5007,2382788.83,8618222.66227,86.1822266227,8.3312,,59.8479,35.8784,5.6449,10087501.8073,1008.7501807299999,10087476.4129,1008.74764129,2026-09-04 16:10:35
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260904,87.25,87.47,77.72,77.72,86.35,-8.63,-9.9942,1708892.55,13708426.6724,137.084266724,11.6496,,47.3006,24.996,4.6518,11413000.9124,1141.30009124,11400868.8204,1140.0868820399999,2026-09-04 16:10:35
300502.SZ,新易盛,AI硬件,光模块,S,CN,1,20260904,392.45,398.0,382.2,386.0,384.76,1.24,0.3223,299404.81,11721743.3034,117.21743303400001,2.3871,,56.4611,41.0238,22.1504,53818308.62,5381.830862,48413787.52,4841.3787520000005,2026-09-04 16:10:35
300308.SZ,中际旭创,AI硬件,光模块,S,CN,1,20260904,825.01,834.96,808.9,814.0,813.0,1.0,0.123,211066.5,17378183.8057,173.78183805700002,1.9016,,88.8021,46.8784,24.0552,95881844.7774,9588.18447774,90348872.0442,9034.88720442,2026-09-04 16:10:35
300394.SZ,天孚通信,AI硬件,光模块,S,CN,1,20260904,252.01,262.68,246.02,248.7,248.81,-0.11,-0.0442,385892.18,9832958.46392,98.3295846392,3.5455,,134.4831,116.8183,43.416,27128817.75,2712.881775,27068209.56,2706.820956,2026-09-04 16:10:35
300476.SZ,胜宏科技,AI硬件,PCB,S,CN,1,20260904,225.81,230.66,217.44,219.5,222.5,-3.0,-1.3483,214439.04,4800978.10431,48.009781043100006,2.4785,,50.0283,42.9241,5.6905,21572126.36,2157.2126359999997,18991028.055,1899.1028055,2026-09-04 16:10:35
688498.SH,源杰科技,AI硬件,光模块,A,CN,1,20260904,1520.0,1527.01,1441.25,1466.0,1508.0,-42.0,-2.7851,26499.25,3925989.872,39.25989872,2.1563,,955.9689,242.7956,58.0953,18251743.98,1825.174398,18015981.86,1801.598186,2026-09-04 16:10:35
002916.SZ,深南电路,AI硬件,PCB,S,CN,1,20260904,345.0,352.5,328.21,331.8,341.54,-9.74,-2.8518,64976.96,2201831.93057,22.018319305699997,0.9771,,68.9955,54.236,12.5352,22601107.788,2260.1107788,22065403.416,2206.5403416,2026-09-04 16:10:35
600183.SH,生益科技,AI硬件,PCB,A,CN,1,20260904,145.2,147.8,135.47,137.5,143.19,-5.69,-3.9737,670207.88,9420477.343,94.20477343,2.7789,,100.1777,64.2972,18.0517,33398800.875,3339.8800875,33161547.375,3316.1547375,2026-09-04 16:10:35
688183.SH,生益电子,AI硬件,PCB,A,CN,1,20260904,124.88,127.42,117.01,118.43,123.5,-5.07,-4.1053,145912.29,1768843.231,17.68843231,1.742,,67.336,48.3095,15.2323,9919592.5816,991.9592581599999,9919592.5816,991.9592581599999,2026-09-04 16:10:35
002463.SZ,沪电股份,AI硬件,PCB,S,CN,1,20260904,118.0,119.2,110.59,111.5,116.42,-4.92,-4.2261,493416.74,5626471.57214,56.2647157214,2.5661,,56.1354,42.3803,11.9275,21456653.025,2145.6653025,21439796.455,2143.9796454999996,2026-09-04 16:10:35
300570.SZ,太辰光,AI硬件,光模块,A,CN,1,20260904,191.0,192.88,178.18,180.0,188.59,-8.59,-4.5549,138864.45,2562316.75588,25.623167558800002,7.2253,,136.7486,135.4089,24.5075,4088284.2,408.82842,3459470.4,345.94704,2026-09-04 16:10:35
300474.SZ,景嘉微,AI芯片,GPU,A,CN,1,20260904,50.69,51.45,50.07,50.19,50.42,-0.23,-0.4562,54618.61,277620.17034,2.7762017034,1.3437,,,,3.8707,2623025.7648,262.30257648,2040121.6143,204.01216143,2026-09-04 16:10:35
688041.SH,海光信息,AI芯片,GPU,S,CN,1,20260904,249.0,251.38,241.49,243.67,246.2,-2.53,-1.0276,135030.08,3324827.303,33.24827303,0.5809,,222.5524,180.2636,22.3216,56637146.4827,5663.71464827,56637146.4827,5663.71464827,2026-09-04 16:10:35
