trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260907,000001.SH,上证指数,3932.6992,0.0657,8979.04,17.1172,15.9117,1.4534,0.9744,7729101492.55,6073656095.95
20260907,000016.SH,上证50,2911.7316,-0.4132,1431.91,11.8486,10.8561,1.235,0.279,2856525344.28,2289345766.07
20260907,000300.SH,沪深300,4575.0245,0.5931,5358.12,14.7066,13.635,1.4322,0.5468,6814948291.39,5208081273.72
20260907,000905.SH,中证500,7759.3676,1.394,3436.55,38.1658,33.0817,2.4,1.3948,1839662592.78,1560492915.0
20260907,000852.SH,中证1000,7639.3613,1.7484,4135.64,,,,,,
20260907,000688.SH,科创50,1615.5305,2.4199,883.32,,,,,,
20260907,399001.SZ,深证成指,13774.9146,1.9083,5668.53,35.2858,30.5582,2.7743,1.599,2978708864.85,2543099591.84
20260907,399006.SZ,创业板指,3398.6812,3.412,2282.39,47.4043,38.8553,5.4679,2.4143,1005893998.35,848659180.76
