trade_date,ts_code,name,close,pct_chg,amount,pe,pe_ttm,pb,turnover_rate
20260629,000001.SH,上证指数,4073.9017,1.158,1666220369.5,17.31,17.09,1.5,1.36
20260629,000016.SH,上证50,2991.0809,2.8943,293638491.4,11.38,11.28,1.21,0.4
20260629,000300.SH,沪深300,4926.921,1.2058,1053723822.6,14.72,14.49,1.46,0.97
20260629,000905.SH,中证500,8821.0944,1.3504,741568075.9,43.12,41.22,2.76,2.28
20260629,000852.SH,中证1000,8597.8932,-0.0409,750058629.1,,,,
20260629,000688.SH,科创50,2126.0105,4.6119,230072493.0,,,,
20260629,399001.SZ,深证成指,15812.8707,0.1942,1851523820.7,39.43,37.43,3.18,2.93
20260629,399006.SZ,创业板指,4216.6985,0.5362,916359643.2,57.1,53.2,7.12,4.14
