trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260915,000001.SH,上证指数,3864.2794,-0.5419,7639.83,16.8766,15.6864,1.4336,0.8975,7618430446.29,5970370447.15
20260915,000016.SH,上证50,2846.3073,-0.5153,1081.72,11.73,10.7474,1.2246,0.2119,2827940461.71,2265894219.42
20260915,000300.SH,沪深300,4450.0402,-0.6706,3947.76,14.4473,13.3945,1.4082,0.4258,6694759798.63,5101555187.38
20260915,000905.SH,中证500,7561.5909,-0.1269,2697.2,37.4383,32.4512,2.3522,1.1272,1804599101.12,1526281524.19
20260915,000852.SH,中证1000,7437.7033,-0.4097,3486.33,,,,,,
20260915,000688.SH,科创50,1551.9581,1.5503,725.0,,,,,,
20260915,399001.SZ,深证成指,13287.9737,-0.7217,4087.58,34.1323,29.5592,2.6832,1.1951,2881337444.97,2459294096.41
20260915,399006.SZ,创业板指,3247.9177,-1.1464,1598.79,45.3731,37.1905,5.2258,1.797,962794558.74,809722983.62
