trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260828,000001.SH,上证指数,3952.179,-0.111,9703.65,17.1999,16.1385,1.4755,1.0431,7766145459.37,6102508266.83
20260828,000016.SH,上证50,2923.3277,-0.2383,1389.77,11.8182,10.9917,1.2513,0.2481,2849219593.95,2285958689.6
20260828,000300.SH,沪深300,4609.1764,-0.4557,5498.13,14.7661,13.8377,1.4554,0.5401,6842505668.06,5230936778.85
20260828,000905.SH,中证500,7895.4511,-0.6402,3763.04,38.9664,34.1372,2.4599,1.5455,1878253254.9,1589818532.39
20260828,000852.SH,中证1000,7705.0293,-0.361,4657.95,,,,,,
20260828,000688.SH,科创50,1662.1493,-1.8501,851.45,,,,,,
20260828,399001.SZ,深证成指,13953.0656,-0.682,6113.82,35.7857,31.5439,2.8328,1.782,3020908978.48,2579057067.98
20260828,399006.SZ,创业板指,3424.4007,-1.4094,2340.68,47.8885,39.3235,5.5462,2.6703,1016168248.75,857817243.14
