ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
688111.SH,金山办公,AI应用,办公,S,CN,1,20260710,225.0,242.8,222.68,233.76,227.6,6.16,2.7065,145206.76,3396556.463,33.96556463,3.1294,1.73,59.0632,29.8906,7.1692,10846777.2384,1084.67772384,10846777.2384,1084.67772384,2026-07-11 00:34:35
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260710,9.35,10.1,9.26,9.67,9.43,0.24,2.5451,758844.39,740736.427,7.40736427,2.2208,1.91,,,4.7919,3304236.4858,330.42364857999996,3304236.4858,330.42364857999996,2026-07-11 00:34:35
601360.SH,三六零,AI应用,Agent,A,CN,1,20260710,8.77,9.53,8.72,9.06,8.84,0.22,2.4887,1513333.49,1383615.968,13.836159680000002,2.162,1.87,241.1135,98.2516,2.1718,6341599.4574,634.15994574,6341599.4574,634.15994574,2026-07-11 00:34:35
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260710,41.99,44.3,41.5,43.19,42.37,0.82,1.9353,797596.49,3446061.91594,34.460619159400004,3.6432,1.76,123.5966,120.2268,5.5029,10374582.6562,1037.45826562,9455555.1713,945.55551713,2026-07-11 00:34:35
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260710,36.2,39.25,36.2,38.41,35.68,2.73,7.6513,4828361.41,18573421.3716,185.73421371599997,16.882,1.37,65.1761,51.6996,7.075,10985566.8959,1098.55668959,10985539.2407,1098.55392407,2026-07-11 00:34:35
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260710,92.0,94.38,89.0,89.52,85.99,3.53,4.1051,2841735.51,26082771.3224,260.827713224,19.3733,2.46,54.4821,51.4498,5.8943,13145803.4184,1314.58034184,13131078.2736,1313.10782736,2026-07-11 00:34:35
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260710,103.48,113.0,102.7,107.5,103.99,3.51,3.3753,1598837.92,17409082.477,174.09082477,10.9281,1.72,72.272,70.9237,6.9732,15728493.775,1572.8493775,15727833.725,1572.7833725,2026-07-11 00:34:35
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260710,71.0,71.0,66.2,66.27,69.53,-3.26,-4.6886,2082384.07,14277350.494,142.77350494,1.0494,1.48,37.2693,32.3513,7.4627,131506799.6721,13150.679967209999,131506799.6721,13150.679967209999,2026-07-11 00:34:35
300570.SZ,太辰光,AI硬件,光模块,A,CN,1,20260710,215.15,222.2,210.92,211.64,210.83,0.81,0.3842,218839.12,4775639.53527,47.7563953527,11.3864,1.39,160.7859,168.4433,27.1735,4806913.7116,480.69137116,4067568.4192,406.75684192,2026-07-11 00:34:35
300394.SZ,天孚通信,AI硬件,光模块,S,CN,1,20260710,281.0,291.8,270.91,271.12,271.5,-0.38,-0.14,646231.02,18290722.0043,182.907220043,5.9375,1.42,146.6066,136.1712,49.4567,29574450.1112,2957.44501112,29508378.1672,2950.83781672,2026-07-11 00:34:35
688183.SH,生益电子,AI硬件,PCB,A,CN,1,20260710,127.99,131.33,122.46,123.0,126.2,-3.2,-2.5357,195592.9,2503006.225,25.03006225,2.3352,1.12,69.9344,59.9783,16.8053,10302371.76,1030.237176,10302371.76,1030.237176,2026-07-11 00:34:35
002916.SZ,深南电路,AI硬件,PCB,S,CN,1,20260710,443.0,459.8,425.0,426.0,442.56,-16.56,-3.7419,130742.19,5828007.64397,58.2800764397,1.9666,0.86,88.5837,79.8391,16.0403,29017697.16,2901.769716,28320884.7,2832.08847,2026-07-11 00:34:35
300502.SZ,新易盛,AI硬件,光模块,S,CN,1,20260710,564.0,570.98,520.58,523.05,545.5,-22.45,-4.1155,510677.61,28030566.2994,280.30566299400004,4.0716,1.08,76.5078,67.9043,35.7857,72926596.6935,7292.65966935,65603190.576,6560.3190576,2026-07-11 00:34:35
600183.SH,生益科技,AI硬件,PCB,A,CN,1,20260710,160.0,163.48,149.25,149.39,157.4,-8.01,-5.0889,634012.61,9972337.689,99.72337689,2.6478,1.07,108.8456,92.374,20.2416,36288611.7288,3628.8611728799997,35771457.9085,3577.14579085,2026-07-11 00:34:35
002463.SZ,沪电股份,AI硬件,PCB,S,CN,1,20260710,137.6,141.89,129.2,129.44,137.3,-7.86,-5.7247,758942.95,10329849.886,103.29849886,3.9471,1.11,65.1674,57.9019,14.8357,24908962.4384,2490.89624384,24888859.112,2488.8859112,2026-07-11 00:34:35
688498.SH,源杰科技,AI硬件,光模块,A,CN,1,20260710,1793.12,1829.0,1601.0,1609.0,1746.01,-137.01,-7.847,47225.69,8180780.072,81.80780072,3.8429,1.05,1049.2183,562.6269,79.3435,20032098.27,2003.209827,19773338.89,1977.333889,2026-07-11 00:34:35
300476.SZ,胜宏科技,AI硬件,PCB,S,CN,1,20260710,297.17,305.45,271.72,272.0,296.7,-24.7,-8.3249,492830.48,14287381.9453,142.873819453,5.6962,1.56,61.994,57.1219,15.3594,26731746.56,2673.1746559999997,23533301.28,2353.330128,2026-07-11 00:34:35
300308.SZ,中际旭创,AI硬件,光模块,S,CN,1,20260710,1210.0,1218.0,1093.98,1093.98,1194.9,-100.92,-8.4459,423262.42,49028023.2154,490.28023215400003,3.8134,1.31,112.9958,81.6144,34.2833,122004445.7106,12200.444571060001,121425194.2404,12142.51942404,2026-07-11 00:34:35
300474.SZ,景嘉微,AI芯片,GPU,A,CN,1,20260710,61.9,65.48,61.13,63.63,62.6,1.03,1.6454,282136.89,1777304.43119,17.773044311899998,6.9411,1.47,,,4.8743,3325426.6059,332.54266058999997,2586394.6983,258.63946983,2026-07-11 00:34:35
688041.SH,海光信息,AI芯片,GPU,S,CN,1,20260710,366.0,395.17,352.51,353.0,363.46,-10.46,-2.8779,513423.74,19281652.935,192.81652935,2.2089,1.52,322.4073,300.9772,34.9184,82049134.93,8204.913493,82049134.93,8204.913493,2026-07-11 00:34:35
688256.SH,寒武纪,AI芯片,GPU,S,CN,1,20260710,1542.98,1569.97,1400.0,1400.0,1535.01,-135.01,-8.7954,131950.45,19901970.613,199.01970613000003,2.1001,1.09,427.1552,323.7459,68.3388,87961020.0,8796.102,87961020.0,8796.102,2026-07-11 00:34:35
688120.SH,华海清科,半导体设备,CMP,A,CN,1,20260710,342.92,374.85,324.0,324.6,344.0,-19.4,-5.6395,225056.71,7895429.882,78.95429882,4.5491,1.19,148.1831,146.3082,20.7995,16058971.506,1605.8971505999998,16058971.506,1605.8971505999998,2026-07-11 00:34:35
688012.SH,中微公司,半导体设备,刻蚀,S,CN,1,20260710,471.59,492.05,434.0,434.51,471.59,-37.08,-7.8628,379947.1,17798376.508,177.98376508,4.0326,1.27,197.1098,152.514,17.1207,41619205.7773,4161.92057773,40939401.847,4093.9401847000004,2026-07-11 00:34:35
002371.SZ,北方华创,半导体设备,设备,S,CN,1,20260710,886.46,905.0,800.99,801.0,878.43,-77.43,-8.8146,193858.45,16711117.5432,167.11117543199998,2.6735,1.28,105.2658,104.2458,14.7929,58127704.92,5812.770492000001,58081298.8248,5808.12988248,2026-07-11 00:34:35
688072.SH,拓荆科技,半导体设备,CVD,S,CN,1,,,,,,,,,,,,,,,,,,,,,2026-07-11 00:34:35
301308.SZ,江波龙,存储,NAND,A,CN,1,20260710,628.0,645.09,587.6,587.6,620.0,-32.4,-5.2258,192515.75,11918267.7124,119.18267712400001,6.8304,0.91,174.6582,45.7191,20.4025,24859064.36,2485.9064359999998,16561617.644,1656.1617644,2026-07-11 00:34:35
688008.SH,澜起科技,存储,DDR5,S,CN,1,20260710,291.51,297.96,267.99,268.06,285.8,-17.74,-6.2071,830992.51,23714307.633,237.14307633,7.2591,1.26,146.3508,127.9226,15.6952,32717741.628,3271.7741628,30686557.187,3068.6557187,2026-07-11 00:34:35
300223.SZ,北京君正,存储,DRAM,A,CN,1,20260710,237.29,244.92,219.8,219.9,236.02,-16.12,-6.8299,369081.1,8615027.37777,86.1502737777,8.7523,0.77,282.6965,171.1858,8.3644,10635777.957,1063.5777957,9273055.458,927.3055458,2026-07-11 00:34:35
603986.SH,兆易创新,存储,Flash,S,CN,1,20260710,688.0,707.97,607.18,612.0,663.49,-51.49,-7.7605,887456.62,59381239.201,593.8123920099999,13.2755,1.53,260.5959,149.3988,16.9929,42946794.0,4294.6794,40911704.28,4091.170428,2026-07-11 00:34:35
002747.SZ,埃斯顿,机器人,工业机器人,S,CN,1,20260710,40.34,43.98,40.3,42.78,41.53,1.25,3.0099,1509682.43,6376657.79906,63.7665779906,19.2954,1.08,920.6224,318.0424,12.7873,4140241.7819,414.02417819,3347126.9986,334.71269986,2026-07-11 00:34:35
601689.SH,拓普集团,机器人,执行器,S,CN,1,20260710,56.0,59.15,55.78,57.36,55.83,1.53,2.7405,531054.0,3056677.84,30.566778399999997,3.0558,0.81,35.8689,36.0462,4.0541,9968225.0016,996.8225001599999,9968225.0016,996.8225001599999,2026-07-11 00:34:35
002050.SZ,三花智控,机器人,热管理,S,CN,1,20260710,43.0,44.69,42.85,43.2,42.85,0.35,0.8168,1120095.64,4893732.97935,48.9373297935,3.0403,0.61,44.7431,44.4781,5.5715,18178620.048,1817.8620048,15915733.2,1591.57332,2026-07-11 00:34:35
300124.SZ,汇川技术,机器人,工业自动化,S,CN,1,20260710,64.48,65.9,63.35,63.43,64.32,-0.89,-1.3837,378477.04,2441773.90426,24.4177390426,1.5702,0.66,34.0086,36.228,4.7205,17174331.5377,1717.4331537700002,15288626.1421,1528.8626142100002,2026-07-11 00:34:35
300024.SZ,机器人,机器人,机器人,A,CN,1,20260710,16.68,17.1,16.33,16.33,16.66,-0.33,-1.9808,884370.28,1480536.93461,14.8053693461,5.6502,0.87,,,6.3187,2556657.2967,255.66572967,2555954.7801,255.59547801000002,2026-07-11 00:34:35
300499.SZ,高澜股份,液冷,液冷,A,CN,1,20260710,38.88,40.87,38.3,38.6,39.09,-0.49,-1.2535,386959.79,1535769.41567,15.357694156700001,14.2575,1.02,415.1274,385.8974,8.4621,1178259.596,117.82595959999999,1047636.424,104.7636424,2026-07-11 00:34:35
002837.SZ,英维克,液冷,液冷,S,CN,1,20260710,74.87,78.5,73.38,73.54,75.87,-2.33,-3.071,720017.43,5495359.75962,54.9535975962,6.3693,1.25,179.5613,194.2045,27.0715,9371566.9584,937.15669584,8313388.8674,831.33888674,2026-07-11 00:34:35
301018.SZ,申菱环境,液冷,温控,A,CN,1,20260710,121.34,128.61,119.3,119.56,123.55,-3.99,-3.2295,200341.7,2495793.44178,24.9579344178,7.0836,0.85,206.4289,234.3524,16.2152,4474907.2228,447.49072227999994,3381430.5924,338.14305924,2026-07-11 00:34:35
601179.SH,中国西电,电力,特高压,S,CN,1,20260710,13.32,13.74,13.12,13.42,13.31,0.11,0.8264,1237137.74,1667555.443,16.67555443,2.4135,1.19,54.1785,52.0582,2.9456,6878934.1808,687.8934180800001,6878934.1808,687.8934180800001,2026-07-11 00:34:35
600312.SH,平高电气,电力,开关设备,S,CN,1,20260710,16.4,16.82,16.3,16.49,16.43,0.06,0.3652,145884.03,241726.012,2.41726012,1.0751,0.81,19.9812,19.0223,1.9177,2237563.2237,223.75632237,2237563.2237,223.75632237,2026-07-11 00:34:35
600089.SH,特变电工,电力,变压器,S,CN,1,20260710,20.06,20.49,19.91,20.06,20.04,0.02,0.0998,1141467.59,2310744.886,23.107448859999998,2.2591,1.16,17.0228,16.4313,1.4086,10135901.9556,1013.5901955600001,10135901.9556,1013.5901955600001,2026-07-11 00:34:35
002028.SZ,思源电气,电力,电网,S,CN,1,20260710,159.39,162.0,151.36,151.73,159.3,-7.57,-4.752,125488.02,1940071.0716,19.400710716,2.0545,1.02,37.6935,36.495,7.3671,11873984.6809,1187.39846809,9267751.8515,926.7751851500001,2026-07-11 00:34:35
