trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260713,000001.SH,上证指数,3913.794,-2.0612,13348.72,16.85,16.63,1.47,1.21,7591995610.82,6004538978.27
20260713,000016.SH,上证50,2913.1878,-1.4323,2554.68,11.48,11.39,1.23,0.4,2782156982.14,2216927805.51
20260713,000300.SH,沪深300,4695.383,-1.7864,9079.45,14.48,14.24,1.45,0.83,6733812998.06,5185613353.57
20260713,000905.SH,中证500,8138.1443,-4.3018,5729.76,39.92,38.15,2.56,2.03,1924099816.2,1611988177.08
20260713,000852.SH,中证1000,7787.8529,-5.0066,5737.88,,,,,,
20260713,000688.SH,科创50,1994.3192,-3.4217,2148.51,,,,,,
20260713,399001.SZ,深证成指,14522.8547,-3.4813,9044.6,36.5,34.65,2.95,2.54,3081529583.51,2637231484.53
20260713,399006.SZ,创业板指,3723.5166,-3.1023,3355.87,50.69,47.23,6.29,3.58,1075580886.26,915252698.49
