ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
601360.SH,三六零,AI应用,Agent,A,CN,1,20260714,8.91,8.98,8.55,8.82,8.9,-0.08,-0.8989,996527.67,867701.144,8.67701144,1.4237,0.91,234.7264,95.6489,2.1143,6173610.0678,617.36100678,6173610.0678,617.36100678,2026-07-14 20:03:47
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260714,9.4,9.44,8.96,9.2,9.36,-0.16,-1.7094,577366.47,526577.702,5.265777020000001,1.6897,1.06,,,4.559,3143637.608,314.3637608,3143637.608,314.3637608,2026-07-14 20:03:47
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260714,41.95,42.47,40.22,41.18,41.9,-0.72,-1.7184,448444.57,1838037.59283,18.3803759283,2.0484,0.84,117.8446,114.6316,5.2468,9891764.6164,989.17646164,9015507.3386,901.55073386,2026-07-14 20:03:47
688111.SH,金山办公,AI应用,办公,S,CN,1,20260714,225.5,228.83,215.68,222.63,226.55,-3.92,-1.7303,87963.4,1942023.566,19.42023566,1.8957,0.83,56.2511,28.4674,6.8278,10330330.3242,1033.0330324200002,10330330.3242,1033.0330324200002,2026-07-14 20:03:47
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260714,62.9,65.75,62.08,65.6,63.08,2.52,3.9949,1422284.69,9114464.714,91.14464714,0.7167,0.91,36.8925,32.0242,7.3873,130177245.488,13017.7245488,130177245.488,13017.7245488,2026-07-14 20:03:47
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260714,88.0,88.38,77.21,84.95,85.49,-0.54,-0.6317,1771278.46,14532519.9892,145.325199892,12.0755,1.09,51.7008,48.8232,5.5934,12474709.5665,1247.47095665,12460736.141,1246.0736141,2026-07-14 20:03:47
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260714,38.4,39.2,34.56,36.98,38.4,-1.42,-3.6979,4639139.27,16749070.1423,167.490701423,16.2204,1.07,62.7496,49.7748,6.8116,10576575.4702,1057.65754702,10576548.8446,1057.65488446,2026-07-14 20:03:47
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260714,107.68,108.39,95.66,101.9,106.13,-4.23,-3.9857,1199555.99,12018691.205,120.18691205,8.199,1.02,68.5071,67.2291,6.6099,14909148.983,1490.9148983,14908523.317,1490.8523317,2026-07-14 20:03:47
688183.SH,生益电子,AI硬件,PCB,A,CN,1,20260714,114.0,126.95,113.0,126.78,111.01,15.77,14.2059,309481.95,3715070.26,37.150702599999995,3.6949,1.88,72.0836,61.8215,17.3218,10618981.2336,1061.89812336,10618981.2336,1061.89812336,2026-07-14 20:03:47
688498.SH,源杰科技,AI硬件,光模块,A,CN,1,20260714,1590.2,1800.53,1561.88,1798.9,1590.2,208.7,13.1241,59844.93,10147250.886,101.47250886,4.8697,1.29,1173.0508,629.0302,88.7079,22396358.967,2239.6358967,22107059.869,2210.7059869,2026-07-14 20:03:47
