trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260720,000001.SH,上证指数,3796.2814,0.8535,12946.52,16.53,16.32,1.44,1.46,7459948516.34,5839782454.31
20260720,000016.SH,上证50,2912.8533,3.0124,2831.78,11.76,11.66,1.26,0.55,2848011172.31,2278638758.1
20260720,000300.SH,沪深300,4598.3208,1.5285,9334.03,14.54,14.3,1.46,0.99,6761953298.2,5177774639.6
20260720,000905.SH,中证500,7411.3134,-1.3635,5376.3,36.97,35.31,2.38,2.3,1782258838.42,1494133278.48
20260720,000852.SH,中证1000,6965.3757,-2.8267,5181.22,,,,,,
20260720,000688.SH,科创50,1718.6895,0.1915,1837.49,,,,,,
20260720,399001.SZ,深证成指,13610.2315,-0.7051,8655.43,34.64,32.88,2.8,2.6,2924276004.47,2498758996.63
20260720,399006.SZ,创业板指,3443.1015,0.4221,3392.88,46.98,43.78,5.83,3.9,996938094.0,848515843.9
