trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260710,000001.SH,上证指数,3996.1616,-1.0015,15631.09,17.12,16.9,1.49,1.29,7713054120.98,6125445197.24
20260710,000016.SH,上证50,2955.5201,-1.3442,3024.07,11.46,11.36,1.23,0.38,2776181905.4,2215799955.83
20260710,000300.SH,沪深300,4780.7867,-1.959,10839.13,14.58,14.35,1.45,0.91,6784416116.06,5241376565.92
20260710,000905.SH,中证500,8503.9705,-1.7199,7134.06,41.64,39.81,2.67,2.28,2007259547.23,1679676295.11
20260710,000852.SH,中证1000,8198.3078,-1.2261,6918.14,,,,,,
20260710,000688.SH,科创50,2064.9756,-5.5288,2350.96,,,,,,
20260710,399001.SZ,深证成指,15046.6695,-2.2863,11441.21,37.78,35.87,3.05,2.99,3189465238.05,2727095887.1
20260710,399006.SZ,创业板指,3842.7314,-4.3662,4241.91,52.39,48.82,6.5,4.41,1111710825.94,943903508.31
