trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260706,000001.SH,上证指数,4041.2382,-0.0595,14321.13,17.2,16.98,1.49,1.21,7747192749.07,6188908238.58
20260706,000016.SH,上证50,2957.9686,0.9104,2476.72,11.34,11.25,1.21,0.37,2747722256.17,2200194223.49
20260706,000300.SH,沪深300,4841.998,-0.0036,9079.46,14.63,14.4,1.46,0.88,6806258797.79,5280950721.05
20260706,000905.SH,中证500,8651.1339,-1.0763,6473.13,42.35,40.49,2.71,2.09,2041350364.85,1714742579.0
20260706,000852.SH,中证1000,8472.6028,-1.7189,6550.13,,,,,,
20260706,000688.SH,科创50,1996.1029,1.0378,1735.37,,,,,,
20260706,399001.SZ,深证成指,15416.804,-1.1586,16589.99,38.76,36.79,3.13,2.72,3271860794.43,2798367252.27
20260706,399006.SZ,创业板指,3948.86,-1.768,7640.16,53.98,50.3,6.73,3.42,1145526888.06,973310621.79
