ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260724,40.0,40.04,38.88,38.88,40.49,-1.61,-3.9763,390477.6,1538075.1492,15.380751492000002,1.7836,0.91,111.2627,108.2291,4.9538,9339286.2624,933.92862624,8511970.0176,851.19700176,2026-07-24 19:09:01
601360.SH,三六零,AI应用,Agent,A,CN,1,20260724,8.73,8.75,8.41,8.43,8.85,-0.42,-4.7458,901625.49,772393.826,7.72393826,1.2881,0.77,224.3474,91.4195,2.0208,5900627.3097,590.06273097,5900627.3097,590.06273097,2026-07-24 19:09:01
688111.SH,金山办公,AI应用,办公,S,CN,1,20260724,236.05,236.25,226.8,226.93,238.39,-11.46,-4.8072,82365.46,1890536.305,18.90536305,1.7751,0.65,57.3375,29.0173,6.9597,10529856.0862,1052.98560862,10529856.0862,1052.98560862,2026-07-24 19:09:01
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260724,9.3,9.3,8.96,8.97,9.45,-0.48,-5.0794,500022.5,454298.487,4.542984870000001,1.4633,0.76,,,4.445,3065046.6678,306.50466678,3065046.6678,306.50466678,2026-07-24 19:09:01
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260724,95.8,101.5,95.8,97.5,97.82,-0.32,-0.3271,673331.94,6646060.678,66.46060678,4.6022,0.65,65.549,64.3261,6.3245,14265378.075,1426.5378074999999,14264779.425,1426.4779425000002,2026-07-24 19:09:01
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260724,41.01,43.47,41.0,41.45,42.45,-1.0,-2.3557,3605371.21,15218589.534,152.18589534,12.6059,0.73,70.3345,55.7914,7.635,11855031.1855,1185.50311855,11855001.3415,1185.50013415,2026-07-24 19:09:01
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260724,87.0,89.33,84.71,85.31,87.96,-2.65,-3.0127,960436.22,8310728.03427,83.1072803427,6.5477,0.56,51.9199,49.0302,5.6171,12527574.7277,1252.75747277,12513542.0858,1251.35420858,2026-07-24 19:09:01
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260724,61.05,61.42,60.17,60.25,62.88,-2.63,-4.1826,1110639.9,6745295.976,67.45295976,0.5597,0.69,33.8837,29.4125,6.7848,119560656.1075,11956.06561075,119560656.1075,11956.06561075,2026-07-24 19:09:01
002916.SZ,深南电路,AI硬件,PCB,S,CN,1,20260724,330.0,339.21,323.0,332.81,337.47,-4.66,-1.3809,70064.12,2331824.28003,23.318242800300002,1.0539,0.51,69.2055,62.3739,12.5314,22669905.6146,2266.9905614599998,22125524.9695,2212.55249695,2026-07-24 19:09:01
300308.SZ,中际旭创,AI硬件,光模块,S,CN,1,20260724,1050.53,1082.54,1039.01,1046.51,1072.52,-26.01,-2.4251,216876.83,22937320.0435,229.373200435,1.954,0.51,108.0927,78.073,32.7957,116710426.5897,11671.04265897,116156310.0098,11615.63100098,2026-07-24 19:09:01
