trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260902,000001.SH,上证指数,3941.3862,-0.9674,8353.68,17.2041,15.9923,1.4608,1.0534,7768044837.57,6084362721.23
20260902,000016.SH,上证50,2914.4449,-0.9306,1244.94,11.9859,10.9819,1.2492,0.2806,2889645012.33,2314730613.53
20260902,000300.SH,沪深300,4547.9559,-1.3767,4746.8,14.7673,13.6912,1.438,0.558,6843069193.59,5212454461.99
20260902,000905.SH,中证500,7729.2332,-1.6451,3073.4,38.1488,33.067,2.3988,1.4859,1838843088.88,1556787551.7
20260902,000852.SH,中证1000,7583.7559,-1.3991,3687.44,,,,,,
20260902,000688.SH,科创50,1617.5967,-1.8172,643.42,,,,,,
20260902,399001.SZ,深证成指,13611.5472,-1.8802,4864.63,34.9643,30.2798,2.748,1.6166,2951574304.03,2520836221.83
20260902,399006.SZ,创业板指,3312.2432,-2.3925,1851.43,46.4603,38.0816,5.3582,2.3021,985864492.71,830423096.36
