ts_code,name,sector,sub_sector,level,country,watch,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,amount_yi,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,total_mv_yi,circ_mv,circ_mv_yi,generated_at
601360.SH,三六零,AI应用,Agent,A,CN,1,20260821,8.73,8.79,8.63,8.76,8.8,-0.04,-0.4545,553699.69,483352.426,4.83352426,0.791,,233.1296,80.6279,2.1705,6131612.7204,613.16127204,6131612.7204,613.16127204,2026-08-21 16:09:39
688111.SH,金山办公,AI应用,办公,S,CN,1,20260821,241.26,243.14,237.3,240.5,241.64,-1.14,-0.4718,50946.65,1220494.691,12.20494691,1.098,,60.7662,30.9397,7.4018,11159522.27,1115.952227,11159522.27,1115.952227,2026-08-21 16:09:39
600588.SH,用友网络,AI应用,企业软件,A,CN,1,20260821,10.76,10.86,10.65,10.75,10.88,-0.13,-1.1949,362335.45,389497.194,3.89497194,1.0604,,,,5.3271,3673272.205,367.3272205,3673272.205,367.3272205,2026-08-21 16:09:39
002230.SZ,科大讯飞,AI应用,大模型,S,CN,1,20260821,39.64,39.64,38.96,39.19,39.91,-0.72,-1.8041,362671.1,1423300.17411,14.2330017411,1.6561,,112.1498,107.65,4.1217,9413750.8969,941.37508969,8582480.4379,858.2480437899999,2026-08-21 16:09:39
000938.SZ,紫光股份,AI服务器,交换机,A,CN,1,20260821,35.6,36.58,35.2,36.44,35.66,0.78,2.1873,1524791.7,5509755.64484,55.0975564484,5.3313,,61.8333,49.048,6.7122,10422131.1556,1042.21311556,10422104.9188,1042.21049188,2026-08-21 16:09:39
000977.SZ,浪潮信息,AI服务器,服务器,S,CN,1,20260821,75.49,76.69,74.25,76.35,75.08,1.27,1.6915,521761.88,3964558.42475,39.6455842475,3.5571,,46.4668,43.8806,5.0271,11211819.6045,1121.18196045,11199260.793,1119.9260792999999,2026-08-21 16:09:39
601138.SH,工业富联,AI服务器,ODM,S,CN,1,20260821,61.65,63.38,61.38,62.84,62.13,0.71,1.1428,794347.85,4961497.062,49.61497062,0.4003,,35.3403,26.5814,7.0952,124700276.0132,12470.02760132,124700276.0132,12470.02760132,2026-08-21 16:09:39
603019.SH,中科曙光,AI服务器,服务器,S,CN,1,20260821,83.88,84.65,83.29,84.11,84.34,-0.23,-0.2727,220448.53,1852548.873,18.52548873,1.5068,,56.5469,55.492,5.4559,12306266.1527,1230.62661527,12305749.7173,1230.57497173,2026-08-21 16:09:39
300502.SZ,新易盛,AI硬件,光模块,S,CN,1,20260821,427.01,443.67,420.06,442.0,414.02,27.98,6.7581,477807.64,20792810.9155,207.928109155,3.8095,,64.6524,57.3821,30.2405,61626146.14,6162.614614,55437549.44,5543.754943999999,2026-08-21 16:09:39
002463.SZ,沪电股份,AI硬件,PCB,S,CN,1,20260821,113.67,122.51,113.39,121.21,114.32,6.89,6.0269,499271.78,5952246.11239,59.5224611239,2.5966,,61.0239,54.2204,13.8924,23325211.1956,2332.52111956,23306386.0705,2330.6386070500002,2026-08-21 16:09:39
