trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260831,000001.SH,上证指数,3986.298,0.8633,10142.93,17.3687,16.1453,1.4747,1.1784,7842374028.52,6152625772.68
20260831,000016.SH,上证50,2936.8799,0.4636,1654.62,11.9854,10.9815,1.2492,0.356,2889520848.06,2315588147.5
20260831,000300.SH,沪深300,4625.0862,0.3452,5834.34,14.9013,13.8155,1.4509,0.7086,6905148192.83,5271604323.58
20260831,000905.SH,中证500,7952.0986,0.7175,3913.53,39.2054,33.9829,2.4649,1.6883,1889776035.84,1598425854.14
20260831,000852.SH,中证1000,7770.4218,0.8487,4609.45,,,,,,
20260831,000688.SH,科创50,1684.3873,1.3379,907.63,,,,,,
20260831,399001.SZ,深证成指,14014.9971,0.4439,5982.07,35.9326,31.1183,2.8243,1.9368,3033313874.01,2590842186.41
20260831,399006.SZ,创业板指,3438.6813,0.417,2239.45,48.2143,39.5193,5.5595,2.9225,1023083021.13,862525496.51
