trade_date,ts_code,name,close,pct_chg,amount_yi,pe,pe_ttm,pb,turnover_rate,total_mv_yi,float_mv_yi
20260917,000001.SH,上证指数,3875.6044,-0.411,8687.73,16.9031,15.711,1.4374,0.9212,7630390845.31,5987396413.13
20260917,000016.SH,上证50,2844.233,-0.7353,1144.69,11.68,10.7017,1.222,0.2295,2815898839.12,2254730764.6
20260917,000300.SH,沪深300,4460.1557,-0.4489,4483.39,14.4118,13.3616,1.4065,0.5073,6678328634.02,5092346339.69
20260917,000905.SH,中证500,7654.9785,-0.3708,3194.26,37.8189,32.781,2.3768,1.2066,1822943455.85,1541886934.49
20260917,000852.SH,中证1000,7548.8223,-0.5088,3885.34,,,,,,
20260917,000688.SH,科创50,1606.2869,-0.6125,854.38,,,,,,
20260917,399001.SZ,深证成指,13409.9079,-0.3332,4823.86,34.3558,29.7528,2.7016,1.4723,2900200973.02,2476554331.84
20260917,399006.SZ,创业板指,3298.3101,-0.3975,1837.89,45.9372,37.6528,5.2977,2.0244,974763230.13,820731338.61
